CH3+ + E	1CH2 + H		
CH3+ + E	3CH2 + H		
CH3+ + E	CH + H2		
CH3+ + E	CH + H + H		
CH3+ + E	C + H2 + H		
CH4+ + E	CH3 + H		
CH4+ + E	1CH2 + H + H		
CH4+ + E	3CH2 + H + H		
CH4+ + E	1CH2 + H2		
CH4+ + E	3CH2 + H2		
CH4+ + E	CH + H2 + H		
CH4+ + E	CH + H + H + H		
CH4+ + E	C + H2 + H2		
CH5+ + E	CH4 + H		
CH5+ + E	CH3 + H2		
CH5+ + E	CH3 + H + H		
CH5+ + E	1CH2 + H2 + H		
CH5+ + E	3CH2 + H2 + H		
CH5+ + E	CH + H2 + H2		
C2H+ + E	C2 + H		
C2H+ + E	CH + C		
C2H+ + E	C + C + H		
C2H3+ + E	C2H2 + H		
C2H3+ + E	C2H + H2		
C2H3+ + E	C2H + H + H		
C2H3+ + E	C2 + H + H2		
C2H3+ + E	CH3 + C		
C2H3+ + E	1CH2 + CH		
C2H3+ + E	3CH2 + CH		
C3H7+ + E	C3H6 + H		
C3H7+ + E	C3H5 + H2		
C3H7+ + E	C3H5 + H + H		
C3H7+ + E	CH3C2H + H2 + H		
C3H7+ + E	CH2CCH2 + H2 + H		
C3H7+ + E	C2H4 + CH3		
C3H7+ + E	C2H4 + 1CH2 + H		
C3H7+ + E	C2H4 + 3CH2 + H		
C3H7+ + E	C2H3 + CH4		
C3H7+ + E	C2H3 + CH3 + H		
C3H7+ + E	C2H2 + CH4 + H		
C3H7+ + E	C2H2 + CH3 + H2		
C3H7+ + E	C3H3 + H2 + H2		
C3H7+ + E	C2H6 + CH		
C3H7+ + E	C2H5 + 1CH2		
C3H7+ + E	C2H5 + 3CH2		
C3H7+ + E	C2H4 + CH + H2		
C3H7+ + E	C2H3 + 1CH2 + 1CH2	BUG !!!!! Too many C	
C3H7+ + E	C2H3 + 1CH2 + 3CH2		
C3H7+ + E	C2H3 + 3CH2 + 3CH2		
C3H7+ + E	C2H + CH4 + H2		
C6H7+ + E	dummy		
NH4+ + E	NH3 + H		
NH4+ + E	NH2 + H2		
NH4+ + E	NH2 + H + H		
NH4+ + E	NH + H + H2		
NH4+ + E	N4S + H2 + H2		
C4H3+ + E	C4H2 + H		
C4H3+ + E	C4H + H2		
C4H3+ + E	C4H + H + H		
C4H3+ + E	C4 + H2 + H		
C4H3+ + E	C3H3 + C		
C4H3+ + E	C3H2 + CH		
C4H3+ + E	C3H + 1CH2		
C4H3+ + E	C3H + 3CH2		
C4H3+ + E	C3 + CH3		
C4H3+ + E	C2H3 + C2		
C4H3+ + E	C2H2 + C2H		
C4H5+ + E	C4H4 + H		
C4H5+ + E	C4H3 + H2		
C4H5+ + E	C4H3 + H + H		
C4H5+ + E	C4H2 + H2 + H		
C4H5+ + E	C4H + H2 + H2		
C4H5+ + E	C3H + CH4		
C4H5+ + E	C3H2 + CH3		
C4H5+ + E	C3H3 + 1CH2		
C4H5+ + E	C3H3 + 3CH2		
C4H5+ + E	CH3C2H + CH		
C4H5+ + E	CH2CCH2 + CH		
C4H5+ + E	C3H5 + C		
C4H5+ + E	C2H5 + C2		
C4H5+ + E	C2H4 + C2H		
C4H5+ + E	C2H3 + C2H2		
C4H5+ + E	C2H2 + C2H2 + H		
C4H5+ + E	C2H2 + C2H + H2		
C4H9+ + E	C4H8 + H		
C4H9+ + E	C4H7 + H2		
C4H9+ + E	C4H7 + H + H		
C4H9+ + E	C4H6 + H2 + H		
C4H9+ + E	C4H5 + H2 + H2		
C4H9+ + E	C4H5 + H2 + H + H		
C4H9+ + E	C3H8 + CH		
C4H9+ + E	C3H7 + 1CH2		
C4H9+ + E	C3H7 + 3CH2		
C4H9+ + E	C3H6 + CH3		
C4H9+ + E	C3H6 + 3CH2 + H		
C4H9+ + E	C3H6 + 1CH2 + H		
C4H9+ + E	C3H6 + CH + H2		
C4H9+ + E	C3H5 + CH4		
C4H9+ + E	C3H5 + CH3 + H		
C4H9+ + E	C3H5 + 3CH2 + H2		
C4H9+ + E	C3H5 + 1CH2 + H2		
C4H9+ + E	CH3C2H + CH4 + H		
C4H9+ + E	CH2CCH2 + CH4 + H		
C4H9+ + E	CH3C2H + CH3 + H2		
C4H9+ + E	CH2CCH2 + CH3 + H2		
C4H9+ + E	C3H3 + CH4 + H2		
C4H9+ + E	C2H6 + C2H3		
C4H9+ + E	C2H6 + C2H2 + H		
C4H9+ + E	C2H6 + C2H + H2		
C4H9+ + E	C2H5 + C2H4		
C4H9+ + E	C2H5 + C2H3 + H		
C4H9+ + E	C2H5 + C2H2 + H2		
C4H9+ + E	C2H4 + C2H4 + H		
C4H9+ + E	C2H4 + CH + CH4		
C4H9+ + E	C2H4 + 1CH2 + CH3		
C4H9+ + E	C2H4 + 3CH2 + CH3		
C4H9+ + E	C2H3 + CH3 + CH3		
C4H9+ + E	C2H3 + 1CH2 + CH4		
C4H9+ + E	C2H3 + 3CH2 + CH4		
C4H9+ + E	C2H2 + CH3 + CH4		
C5H3+ + E	dummy		
C5H9+ + E	dummy		
C6H4+ + E	dummy		
C6H5+ + E	dummy		
C6H6+ + E	dummy		
C7H5+ + E	dummy		
NH+ + E	N4S + H		
CH3NH3+ + E	dummy		
NH3+ + E	NH2 + H		
NH3+ + E	NH + H2		
NH3+ + E	NH + H + H		
NH3+ + E	N4S + H2 + H		
NH3+ + E	N4S + H + H + H		
H+ + E	H		
CH+ + E	C + H		
CH2+ + E	C + H2		
CH2+ + E	CH + H		
CH2+ + E	C + H + H		
C2H2+ + E	C2H + H		
C2H2+ + E	CH + CH		
