C4H9+ + E

CHECKED	PP
																				
ALPHA	Logn	8.3e-7	1.3
REF_ALPHA	Lehfaoui1997	

BETA	Unif	0.5	1.5
REF_BETA	Plessis2010

REF_BR		Florescu2006	Angelova2004	Mitchell2003	Mitchell2005
BR	Dior	Dior	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Dirg
C4H8 + H			1/1																	0.573/0.041
C4H7 + H2	2		1																	
C4H7 + H + H	1																			
C4H6 + H2 + H			1																	
C4H5 + H2 + H2		2	1																	
C4H5 + H2 + H + H		1																		
C3H8 + CH											1/1									0.411/0.038
C3H7 + 1CH2				1/1							1									
C3H7 + 3CH2				1																
C3H6 + CH3						1/1					1									
C3H6 + 3CH2 + H					1/1	1														
C3H6 + 1CH2 + H					1															
C3H6 + CH + H2						1														
C3H5 + CH4								1/1			1									
C3H5 + CH3 + H								1												
C3H5 + 3CH2 + H2							1/1	1												
C3H5 + 1CH2 + H2							1													
CH3C2H + CH4 + H									1/1		1									
CH3C2H + CH3 + H2									1											
CH2CCH2 + CH4 + H										1/1	1									
CH2CCH2 + CH3 + H2										1										
C3H3 + CH4 + H2											1									
C2H6 + C2H3												1/1		1/1						0.015/0.026
C2H6 + C2H2 + H												1								
C2H6 + C2H + H2												1								
C2H5 + C2H4													1/1	1						
C2H5 + C2H3 + H													1							
C2H5 + C2H2 + H2													1							
C2H4 + C2H4 + H														1						
C2H4 + CH + CH4																1/1			1/1	0.001/0.01
C2H4 + 1CH2 + CH3															1/1	1				
C2H4 + 3CH2 + CH3															1					
C2H3 + CH3 + CH3																		1/1	1	
C2H3 + 1CH2 + CH4																	1/1	1		
C2H3 + 3CH2 + CH4																	1			
C2H2 + CH3 + CH4																			1	
