C4H5+ + E								
								
CHECKED	PP							
								
ALPHA	Logn	8.2e-7	1.3					
REF_ALPHA	Rebrion-Rowe1998							
								
BETA	Unif	0.5	1.5					
REF_BETA	Plessis2010							
								
REF_BR		Florescu2006	Angelova2004	Mitchell2005				
BR	Diri	Dior	Diri	Diri	Diri	Diri	Diri	Dirg
C4H4 + H			1/1					0.460/0.054
C4H3 + H2		2	1					
C4H3 + H + H		1						
C4H2 + H2 + H			1					
C4H + H2 + H2			1					
cC3H + CH4	1/1				1/1			0.093/0.021
lC3H + CH4	1							
cC3H2 + CH3					1			
C3H3 + 1CH2				1/1	1			
C3H3 + 3CH2				1				
CH3C2H + CH					1			
CH2CCH2 + CH					1			
C3H5 + C					1			
C2H5 + 1C2							1/1	0.447/0.053
C2H4 + C2H							1	
C2H3 + C2H2							1	
C2H2 + C2H2 + H						1/1	1	
C2H2 + C2H + H2						1		
