C3H6+ + E														
														
CHECKED	PP													
														
ALPHA	Logu	0.5e-6	3.0e-6											
REF_ALPHA	Plessis2010													
														
BETA	Unif	0.5	1.5											
REF_BETA	Plessis2010													
														
REF_BR		Plessis2010	Florescu2006	Angelova2004	Mitchell2005									
BR	Diri	Diri	Dior	Dior	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Dirg
C3H5 + H					1/1									0.692/0.016
CH3C2H + H + H	1/1		1		1									
CH2CCH2 + H + H	1													
CH3C2H + H2		1/1	2											
CH2CCH2 + H2		1												
C3H3 + H2 + H					1									
cC3H2 + H2 + H2				2	1									
cC3H2 + H2 + H + H				1										
C2H5 + CH												1/1		0.307/0.013
C2H4 + 1CH2						1/1	1/1					1		
C2H4 + 3CH2						1								
C2H4 + CH + H							1							
C2H4 + C + H2							1							
C2H3 + CH + H2								1/1				1		
C2H3 + CH3								1						
C2H2 + CH4										1/1		1		
C2H2 + 1CH2 + H2									1/1	1				
C2H2 + 3CH2 + H2									1					
C2H2 + CH3 + H										1				
C2H + CH4 + H											1/1	1		
C2H + CH3 + H2											1			
C + 1CH2 + CH4													1/1	0.001/0.001
C + 3CH2 + CH4													1	
