C3H8+ + E																	

CHECKED	PP
																	
ALPHA	Logu	0.5e-6	3e-6	
REF_ALPHA	Plessis2010
												
BETA	Unif	0.5	1.5
REF_BETA	Plessis2010														

REF_BR		Plessis2010	Florescu2006	Angelova2004	Mitchell2005
BR	Dior	Diri	Diri	Dior	Diri	Diri	Dior	Diri	Dior	Dior	Diri	Dior	Diri	Diri	Diri	Diri	Dirg
C3H7 + H					1/1												0.678/0.029
C3H6 + H2	2				1												
C3H6 + H + H	1																
C3H5 + H2 + H					1												
CH3C2H + H2 + H2		1/1		2	1												
CH2CCH2 + H2 + H2		1															
CH3C2H + H2 + H + H			1/1	1													
CH2CCH2 + H2 + H + H			1														
C2H6 + 1CH2						1/1							1/1				0.321/0.028
C2H6 + 3CH2						1											
C2H5 + CH3													1				
C2H5 + CH + H2							2						1				
C2H5 + CH + H + H							1										
C2H5 + 1CH2 + H								1/1					1				
C2H5 + 3CH2 + H								1									
C2H4 + CH4													1				
C2H4 + 1CH2 + H2									2		1/1		1				
C2H4 + 1CH2 + H + H									1								
C2H4 + 3CH2 + H2										2	1						
C2H4 + 3CH2 + H + H										1							
C2H4 + CH3 + H													1				
C2H3 + CH3 + H2												2	1				
C2H3 + CH3 + H + H												1					
C2H3 + CH4 + H													1				
C2H2 + CH4 + H2													1				
1CH2 + CH3 + CH3														1/1		1/1	0.001/0.01
3CH2 + CH3 + CH3														1			
1CH2 + CH4 + 1CH2															1/1	1	
1CH2 + CH4 + 3CH2															1		
3CH2 + CH4 + 3CH2															1		
CH4 + CH3 + CH																1	
