C4H8+ + E																								
																								
CHECKED	PP																							
																								
ALPHA	Logu	0.5e-6	3e-6																					
REF_ALPHA	Plessis2010																							
																								
BETA	Unif	0.5	1.5																					
REF_BETA	Plessis2010																							
																								
REF_BR		Florescu2006	Angelova2004	Mitchell2005																				
BR	Dior	Dior	Dior	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Dior	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Diri	Dirg
C4H7 + H				1/1																				0.305/0.031
C4H6 + H2	2			1																				
C4H6 + H + H	1																							
C4H5 + H2 + H		2		1																				
C4H5 + H + H + H		1																						
C4H4 + H2 + H2			2	1																				
C4H4 + H2 + H + H			1																					
C3H8 + C															1/1									0.633/0.032
C3H7 + CH															1									
C3H6 + 1CH2					1/1	1/1									1									
C3H6 + 3CH2					1																			
C3H6 + CH + H						1																		
C3H6 + C + H2						1																		
C3H5 + CH3								1/1							1									
C3H5 + 1CH2 + H							1/1	1																
C3H5 + 3CH2 + H							1																	
C3H5 + CH + H2								1																
CH3C2H + CH4										1/1					1									
CH3C2H + CH3 + H										1														
CH3C2H + 1CH2 + H2									1/1	1														
CH3C2H + 3CH2 + H2									1															
CH2CCH2 + CH4												1/1			1									
CH2CCH2 + CH3 + H												1												
CH2CCH2 + 1CH2 + H2											1/1	1												
CH2CCH2 + 3CH2 + H2											1													
C3H3 + CH4 + H													1/1		1									
C3H3 + CH3 + H2													1											
cC3H2 + CH4 + H2														2	1									
cC3H2 + CH4 + H + H														1										
C2H6 + C2H2																1/1			1/1					0.061/0.021
C2H6 + C2H + H																1								
C2H6 + 1C2 + H2																1								
C2H5 + C2H3																	1/1		1					
C2H5 + C2H2 + H																	1							
C2H5 + C2H + H2																	1							
C2H4 + C2H4																		1/1	1					
C2H4 + C2H3 + H																		1						
C2H4 + CH + CH3																				1/1			1/1	0.001/0.01
C2H4 + C + CH4																				1				
C2H3 + CH + CH4																							1	
C2H2 + CH3 + CH3																						1/1	1	
C2H2 + 1CH2 + CH4																					1/1	1		
C2H2 + 3CH2 + CH4																					1			
C2H + CH4 + CH3																							1	
1C2 + CH4 + CH4																							1	
