 Lambda  Total   H/CN(*)  HCN+    
    1.0 6.00E-23 0.00E+00 6.00E-23
   30.0 1.20E-18 0.00E+00 1.20E-18
   31.0 5.00E-19 0.00E+00 5.00E-19
   41.0 1.10E-18 0.00E+00 1.10E-18
   43.0 1.20E-19 0.00E+00 1.20E-19
   50.0 1.80E-19 0.00E+00 1.80E-19
  100.0 9.20E-19 0.00E+00 9.20E-19
  200.0 3.65E-18 0.00E+00 3.65E-18
  300.0 7.33E-18 0.00E+00 7.33E-18
  400.0 1.12E-17 0.00E+00 1.12E-17
  500.0 1.62E-17 0.00E+00 1.62E-17
  600.0 2.06E-17 0.00E+00 2.06E-17
  700.0 2.43E-17 0.00E+00 2.43E-17
  800.0 2.70E-17 0.00E+00 2.70E-17
  900.0 1.56E-17 0.00E+00 1.56E-17
  911.2 1.55E-17 0.00E+00 1.55E-17
  912.0 1.55E-17 1.55E-17 0.00E+00
 1050.0 1.46E-17 1.46E-17 0.00E+00
 1051.5 1.46E-17 1.46E-17 0.00E+00
 1052.7 2.06E-17 2.06E-17 0.00E+00
 1055.8 1.45E-17 1.45E-17 0.00E+00
 1059.0 2.26E-17 2.26E-17 0.00E+00
 1060.1 2.05E-17 2.05E-17 0.00E+00
 1063.3 2.33E-17 2.33E-17 0.00E+00
 1064.6 2.03E-17 2.03E-17 0.00E+00
 1066.4 2.55E-17 2.55E-17 0.00E+00
 1067.9 1.88E-17 1.88E-17 0.00E+00
 1068.8 2.89E-17 2.89E-17 0.00E+00
 1070.0 2.69E-17 2.69E-17 0.00E+00
 1073.3 6.38E-17 6.38E-17 0.00E+00
 1075.6 3.77E-17 3.77E-17 0.00E+00
 1077.4 5.89E-17 5.89E-17 0.00E+00
 1080.9 2.79E-17 2.79E-17 0.00E+00
 1082.0 2.85E-17 2.85E-17 0.00E+00
 1083.9 2.49E-17 2.49E-17 0.00E+00
 1085.7 3.33E-17 3.33E-17 0.00E+00
 1088.9 2.15E-17 2.15E-17 0.00E+00
 1090.3 4.36E-17 4.36E-17 0.00E+00
 1094.5 1.91E-17 1.91E-17 0.00E+00
 1098.3 2.47E-17 2.47E-17 0.00E+00
 1103.3 1.74E-17 1.74E-17 0.00E+00
 1105.0 2.82E-17 2.82E-17 0.00E+00
 1107.0 2.37E-17 2.37E-17 0.00E+00
 1108.1 2.42E-17 2.42E-17 0.00E+00
