  120.0  4.23990e-17
  121.0  4.68280e-17
  122.0  6.45130e-17
  123.0  7.70950e-17
  124.0  6.51100e-17
  125.0  4.72620e-17
  126.0  3.72050e-17
  127.0  3.53330e-17
  128.0  3.71510e-17
  129.0  3.46540e-17
  130.0  4.24190e-17
  131.0  4.39500e-17
  132.0  4.00510e-17
  133.0  5.71450e-17
  134.0  8.02990e-17
  135.0  5.08880e-17
  136.0  4.49930e-17
  137.0  3.54300e-17
  138.0  5.53580e-17
  139.0  2.73350e-17
  140.0  3.34550e-17
  141.0  2.18710e-17
  142.0  4.89110e-17
  143.0  1.12890e-17
  144.0  1.43400e-17
  145.0  1.50690e-17
  146.0  4.78350e-17
  147.0  3.57820e-17
  148.0  1.32520e-17
  149.0  1.60260e-17
  150.0  3.01420e-17
  151.0  1.55570e-16
  152.0  5.21870e-17
  153.0  1.96340e-17
  154.0  1.06250e-17
  155.0  5.01570e-18
  156.0  6.23530e-18
  157.0  7.09970e-18
  158.0  1.00550e-17
  159.0  2.01790e-17
  160.0  2.69450e-17
  161.0  2.57230e-17
  162.0  3.17130e-17
  163.0  3.67950e-17
  164.0  4.26140e-17
  165.0  6.52560e-17
  166.0  7.76600e-17
  167.0  8.15530e-17
  168.0  8.15980e-17
  169.0  1.00030e-16
  170.0  1.22250e-16
  171.0  1.78530e-16
  172.0  2.30660e-16
  173.0  2.28070e-16
  174.0  2.11980e-16
  175.0  2.67720e-16
  176.0  3.04010e-16
  177.0  3.64100e-16
  178.0  4.44770e-16
  179.0  4.55210e-16
  180.0  4.10830e-16
  181.0  3.84270e-16
  182.0  4.61780e-16
  183.0  4.60320e-16
  184.0  4.16640e-16
  185.0  3.94230e-16
  186.0  3.83710e-16
  187.0  3.37900e-16
  188.0  2.65540e-16
  189.0  1.69000e-16
  190.0  2.96995e-16  2.65108e-16
  191.0  3.21129e-16  2.96248e-16
  192.0  3.49478e-16  3.27607e-16
  193.0  3.69816e-16  3.58257e-16
  194.0  4.12538e-16  4.51538e-16
  195.0  4.84224e-16  5.32777e-16
  196.0  6.05502e-16  6.27769e-16
  197.0  8.23406e-16  6.84805e-16
  198.0  8.81194e-16  7.04971e-16
  199.0  8.68925e-16  6.93159e-16
  200.0  8.05817e-16  6.59898e-16
  201.0  7.35083e-16  6.06369e-16
  202.0  6.50742e-16  5.28909e-16
  203.0  5.42572e-16  4.65234e-16
  204.0  4.52834e-16  4.03521e-16
  205.0  3.64042e-16  3.50744e-16
  206.0  2.95145e-16  3.10762e-16
  207.0  2.41129e-16  2.81741e-16
  208.0  2.23171e-16  2.42533e-16
  209.0  1.82042e-16  2.06550e-16
  210.0  1.48431e-16  1.89797e-16
  211.0  1.32913e-16  1.37556e-16
  212.0  1.10521e-16  1.43461e-16
  213.0  1.08805e-16  1.27682e-16
  214.0  8.56475e-17  1.30723e-16
  215.0  9.00761e-17  1.55177e-16
  216.0  9.35370e-17  1.40256e-16
  217.0  1.06392e-16  1.48695e-16
  218.0  1.08891e-16  1.83924e-16
  219.0  1.17978e-16  2.02056e-16
  220.0  1.37262e-16  2.09393e-16
  221.0  1.52298e-16  2.18867e-16
  222.0  1.44364e-16  2.07538e-16
  223.0  1.60999e-16  2.01352e-16
  224.0  1.45711e-16  2.27197e-16
  225.0  1.64538e-16  2.44586e-16
  226.0  1.74263e-16  2.74783e-16
  227.0  2.08262e-16  2.98036e-16
  228.0  2.41251e-16  3.15853e-16
  229.0  2.75807e-16  3.80974e-16
  230.0  3.09831e-16  4.24396e-16
  231.0  3.51284e-16  4.69042e-16
  232.0  4.13256e-16  5.19871e-16
  233.0  4.89231e-16  6.00469e-16
  234.0  6.11737e-16  7.07241e-16
  235.0  7.67335e-16  8.41909e-16
  236.0  1.00959e-15  1.03072e-15
  237.0  1.34413e-15  1.24873e-15
  238.0  1.70045e-15  1.45465e-15
  239.0  1.92295e-15  1.54903e-15
  240.0  1.93455e-15  1.55035e-15
  241.0  1.77937e-15  1.46780e-15
  242.0  1.53728e-15  1.33730e-15
  243.0  1.28973e-15  1.19412e-15
  244.0  1.06262e-15  1.03907e-15
  245.0  8.38609e-16  8.73048e-16
  246.0  6.53904e-16  7.35001e-16
  247.0  4.96229e-16  5.85717e-16
  248.0  3.89695e-16  4.63193e-16
  249.0  3.05106e-16  3.88794e-16
  250.0  2.45191e-16  3.33453e-16
  251.0  2.03869e-16  3.00610e-16
  252.0  1.59447e-16  2.49040e-16
  253.0  1.28889e-16  2.11659e-16
  254.0  1.10633e-16  1.81397e-16
  255.0  9.87513e-17  1.83992e-16
  256.0  8.94688e-17  1.64794e-16
  257.0  8.42599e-17  1.59958e-16
  258.0  1.00309e-16  1.69687e-16
  259.0  9.72907e-17  1.58823e-16
  260.0  1.17524e-16  1.66758e-16
  261.0  1.30468e-16  1.72147e-16
  262.0  1.60615e-16  1.68130e-16
  263.0  1.65927e-16  1.57886e-16
  264.0  1.75693e-16  1.62839e-16
  265.0  1.90166e-16  1.60396e-16
  266.0  1.90084e-16  1.79518e-16
  267.0  1.95769e-16  1.65327e-16
  268.0  2.03241e-16  1.71325e-16
  269.0  2.22790e-16  1.90452e-16
  270.0  2.50997e-16  2.23926e-16
  271.0  2.97382e-16  2.52027e-16
  272.0  3.47417e-16  2.91987e-16
  273.0  3.95219e-16  3.32362e-16
  274.0  4.21625e-16  3.77909e-16
  275.0  4.76895e-16  4.42964e-16
  276.0  5.58545e-16  5.45356e-16
  277.0  6.91564e-16  6.47114e-16
  278.0  8.76387e-16  8.06661e-16
  279.0  1.12074e-15  1.03437e-15
  280.0  1.46823e-15  1.34707e-15
  281.0  1.96068e-15  1.74388e-15
  282.0  2.65501e-15  2.20839e-15
  283.0  3.32032e-15  2.56908e-15
  284.0  3.43964e-15  2.69904e-15
  285.0  3.21880e-15  2.63407e-15
  286.0  2.83558e-15  2.41225e-15
