  120.0  1.61350e-17
  121.0  2.07650e-17
  122.0  7.86710e-17
  123.0  3.20460e-17
  124.0  4.12740e-17
  125.0  7.92920e-17
  126.0  6.05060e-17
  127.0  4.34300e-17
  128.0  7.40990e-17
  129.0  1.50580e-16
  130.0  3.26570e-17
  131.0  2.72000e-17
  132.0  3.22990e-17
  133.0  3.94720e-17
  134.0  5.32880e-17
  135.0  6.88900e-17
  136.0  8.53130e-17
  137.0  9.73550e-17
  138.0  1.21110e-16
  139.0  1.48610e-16
  140.0  1.80730e-16
  141.0  1.88050e-16
  142.0  1.55680e-16
  143.0  1.88080e-16
  144.0  2.34630e-16
  145.0  2.22220e-16
  146.0  1.34200e-16
  147.0  6.92070e-17
  148.0  4.90770e-17
  149.0  4.49520e-17
  150.0  5.48550e-17
  151.0  2.96810e-17
  152.0  1.70060e-17
  153.0  1.29980e-17
  154.0  1.20400e-17
  155.0  1.18300e-17
  156.0  1.04830e-17
  157.0  8.10050e-18
  158.0  7.20370e-18
  159.0  8.13830e-18
  160.0  8.86830e-18
  161.0  9.56450e-18
  162.0  5.95360e-18
  163.0  4.19970e-18
  184.0  3.60823e-19  3.99860e-19
  185.0  2.86120e-19  6.65573e-19
  186.0  3.03325e-19  4.43615e-19
  187.0  2.67348e-19  2.73718e-19
  188.0  2.21519e-19  2.93913e-19
  189.0  1.77011e-19  3.26103e-19
  190.0  2.02979e-19  3.03477e-19
  191.0  1.66524e-19  2.92398e-19
  192.0  1.58056e-19  1.87690e-19
  193.0  1.57427e-19  1.80082e-19
  194.0  1.79860e-19  1.99088e-19
  195.0  4.32571e-19  3.25281e-19
  196.0  1.50071e-19  1.94215e-19
  197.0  6.50849e-19  6.94407e-19
  198.0  1.70042e-19  2.41543e-19
  199.0  1.06317e-19  1.77067e-19
  200.0  1.27387e-19  1.99252e-19
  201.0  1.74482e-19  2.28518e-19
  202.0  1.62408e-19  2.17077e-19
  203.0  3.35775e-19  3.15850e-19
  204.0  1.52378e-19  2.61219e-19
  205.0  7.17731e-19  5.33333e-19
  206.0  2.19387e-19  3.08025e-19
  207.0  1.01459e-19  1.87275e-19
  208.0  1.82228e-19  2.40603e-19
  209.0  1.26199e-19  2.05126e-19
  210.0  2.56978e-19  2.60413e-19
  211.0  1.83657e-19  2.28576e-19
  212.0  4.35611e-19  3.88602e-19
  213.0  1.19561e-19  2.22868e-19
  214.0  8.59219e-19  7.33408e-19
  215.0  2.54909e-19  3.60396e-19
  216.0  1.04376e-19  1.66698e-19
  217.0  7.74803e-20  1.54936e-19
  218.0  8.97531e-20  1.47154e-19
  219.0  9.58201e-20  1.70918e-19
  220.0  2.21064e-19  2.21531e-19
  221.0  1.25245e-19  1.42083e-19
  222.0  2.66377e-19  2.62526e-19
  223.0  3.85894e-20  9.77870e-20
  224.0  1.23565e-19  1.44684e-19
  225.0  2.86142e-19  3.78532e-19
  226.0  3.90539e-20  8.25412e-20
  227.0  1.31768e-20  5.92020e-20
  228.0  2.09927e-20  8.09279e-20
  229.0  7.66157e-21  4.38454e-20
