Lambda  Total   CH3/OH   CH3OH+   CH3O+H   H2CO+H2  H2CO/H2 
    1.0 1.00E-23 0.00E+00 2.00E-24 3.00E-24 5.00E-24 0.00E+00
  200.0 1.00E-22 6.00E-25 2.10E-23 2.95E-23 4.89E-23 0.00E+00
  400.0 1.00E-19 1.50E-21 2.50E-20 2.88E-20 4.47E-20 0.00E+00
  600.0 2.50E-17 1.00E-18 7.75E-18 6.50E-18 9.75E-18 0.00E+00
  800.0 3.00E-17 1.50E-18 1.08E-17 7.20E-18 9.30E-18 1.20E-18
  970.0 2.10E-17 1.05E-18 1.42E-17 3.67E-18 5.88E-19 1.47E-18
  976.0 2.00E-17 1.00E-18 1.40E-17 3.20E-18 0.00E+00 1.80E-18
 1000.0 1.70E-17 8.50E-19 1.38E-17 6.12E-19 0.00E+00 1.70E-18
 1006.0 3.00E-17 1.50E-18 2.44E-17 0.00E+00 0.00E+00 4.11E-18
 1100.0 2.10E-17 1.05E-18 1.68E-17 0.00E+00 0.00E+00 3.15E-18
 1143.0 1.70E-17 8.50E-19 0.00E+00 0.00E+00 0.00E+00 1.61E-17
 1199.0 1.30E-17 6.50E-19 0.00E+00 0.00E+00 0.00E+00 1.23E-17
 1208.0 1.40E-17 7.00E-19 0.00E+00 0.00E+00 0.00E+00 1.33E-17
 1229.0 1.30E-17 6.50E-19 0.00E+00 0.00E+00 0.00E+00 1.23E-17
 1256.0 1.40E-17 7.00E-19 0.00E+00 0.00E+00 0.00E+00 1.33E-17
 1269.0 1.40E-17 7.00E-19 0.00E+00 0.00E+00 0.00E+00 1.33E-17
 1287.0 1.50E-17 7.50E-19 0.00E+00 0.00E+00 0.00E+00 1.43E-17
 1351.0 7.00E-18 3.50E-19 0.00E+00 0.00E+00 0.00E+00 6.65E-18
 1364.0 6.50E-18 3.25E-19 0.00E+00 0.00E+00 0.00E+00 6.17E-18
 1368.0 6.00E-18 3.00E-19 0.00E+00 0.00E+00 0.00E+00 5.70E-18
 1389.0 3.50E-18 1.75E-19 0.00E+00 0.00E+00 0.00E+00 3.32E-18
 1393.0 3.30E-18 1.65E-19 0.00E+00 0.00E+00 0.00E+00 3.13E-18
 1399.0 3.30E-18 1.65E-19 0.00E+00 0.00E+00 0.00E+00 3.13E-18
 1412.0 3.00E-18 1.50E-19 0.00E+00 0.00E+00 0.00E+00 2.85E-18
 1418.0 3.20E-18 1.60E-19 0.00E+00 0.00E+00 0.00E+00 3.04E-18
 1435.0 4.00E-18 2.00E-19 0.00E+00 0.00E+00 0.00E+00 3.80E-18
 1447.0 4.20E-18 2.10E-19 0.00E+00 0.00E+00 0.00E+00 3.99E-18
 1456.0 7.00E-18 3.50E-19 0.00E+00 0.00E+00 0.00E+00 6.65E-18
 1468.0 6.50E-18 3.25E-19 0.00E+00 0.00E+00 0.00E+00 6.17E-18
 1479.0 1.25E-17 6.25E-19 0.00E+00 0.00E+00 0.00E+00 1.19E-17
 1488.0 7.00E-18 3.50E-19 0.00E+00 0.00E+00 0.00E+00 6.65E-18
 1499.0 1.20E-17 6.00E-19 0.00E+00 0.00E+00 0.00E+00 1.14E-17
 1520.0 4.00E-18 2.00E-19 0.00E+00 0.00E+00 0.00E+00 3.80E-18
 1522.0 3.50E-18 1.75E-19 0.00E+00 0.00E+00 0.00E+00 3.32E-18
 1548.0 5.00E-18 2.50E-19 0.00E+00 0.00E+00 0.00E+00 4.75E-18
 1565.0 6.00E-18 3.00E-19 0.00E+00 0.00E+00 0.00E+00 5.70E-18
 1570.0 8.00E-18 4.00E-19 0.00E+00 0.00E+00 0.00E+00 7.60E-18
 1575.0 7.00E-18 3.50E-19 0.00E+00 0.00E+00 0.00E+00 6.65E-18
 1582.0 8.00E-18 4.00E-19 0.00E+00 0.00E+00 0.00E+00 7.60E-18
 1587.0 1.00E-17 5.00E-19 0.00E+00 0.00E+00 0.00E+00 9.50E-18
 1592.0 9.00E-18 4.50E-19 0.00E+00 0.00E+00 0.00E+00 8.55E-18
 1597.0 6.00E-18 3.00E-19 0.00E+00 0.00E+00 0.00E+00 5.70E-18
 1605.0 1.05E-17 5.25E-19 0.00E+00 0.00E+00 0.00E+00 9.97E-18
 1623.0 2.00E-18 1.00E-19 0.00E+00 0.00E+00 0.00E+00 1.90E-18
 1639.0 8.00E-19 4.00E-20 0.00E+00 0.00E+00 0.00E+00 7.60E-19
 1667.0 3.50E-19 1.75E-20 0.00E+00 0.00E+00 0.00E+00 3.33E-19
 1695.0 4.00E-19 2.00E-20 0.00E+00 0.00E+00 0.00E+00 3.80E-19
 1754.0 5.00E-19 2.50E-20 0.00E+00 0.00E+00 0.00E+00 4.75E-19
 1818.0 6.00E-19 3.00E-20 0.00E+00 0.00E+00 0.00E+00 5.70E-19
 1852.0 6.00E-19 3.00E-20 0.00E+00 0.00E+00 0.00E+00 5.70E-19
 1923.0 3.00E-19 1.50E-20 0.00E+00 0.00E+00 0.00E+00 2.85E-19
 2000.0 5.00E-20 2.50E-21 0.00E+00 0.00E+00 0.00E+00 4.75E-20
 2053.0 2.00E-21 1.00E-22 0.00E+00 0.00E+00 0.00E+00 1.90E-21
 2053.0 1.00E-22 5.00E-24 0.00E+00 0.00E+00 0.00E+00 9.50E-23
 3150.0 1.00E-23 5.00E-25 0.00E+00 0.00E+00 0.00E+00 9.50E-24
 3150.0 1.00E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-24
13500.0 1.00E-25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-25

