## Some summary parameters of the cross sections for atoms and molecules in the Leiden database
##
## -- Header keys --
## cross_sect_ref:    Where to find a discussion of this cross section
## cross_sec_unc:     Uncertainty of cross section for wavelengths relevant to a stellar radiation field.
## Lyalpha_unc:       Uncertainty of cross section for wavelengths relevant to Lyman alpha radiation.
## cosmic_ray_unc:    Uncertainty of cross section for wavelengths relevant to a cosmic ray induced radiation field.
## Lyalpha_pd_xs:     The value of the photodissociation cross seciton at Lyman alpha (cm2).
## Lyalpha_pi_xs:     The value of the photoionisation cross seciton at Lyman alpha (cm2).
## pd_threshold:      The longest wavelength important photodissociation threshold (nm).
## pi_threshold:      important photoionisation threshold (nm).
## pd_products :      The dominant fragments of photodissociation at its long wavelength threshold.
##
## -- Uncertainty codes --
## A+: accurate to within 20%
##  A: accurate to within 30%
##  B: accurate within a factor of 2
##  C: accurate within a factor of 10
species , cross_sect_ref    , cross_sec_unc    , Lyalpha_unc , cosmic_ray_unc , Lyalpha_pd_xs , Lyalpha_pi_xs , Lyalpha_pd_rate , Lyalpha_pi_rate , pd_threshold , pi_threshold , pd_products
Al      , heays2017         , B                , B           , B              , 0.00e+00      , 8.71e-18      , 0.000e+00       , 1.370e-09       , nan          , 207          , --
AlH     , heays2017         , C                , C           , C              , 5e-20         , 0.00e+00      , 7.867e-12       , 0.000e+00       , 392          , 156          , Al + H
C       , heays2017         , B                , --          , B              , 0.00e+00      , 0.00e+00      , 0.000e+00       , 0.000e+00       , nan          , 110          , --
C2      , pouilly1983       , B                , B           , B              , 4.98e-19      , 0.00e+00      , 7.835e-11       , 0.000e+00       , 193          , 102          , C + C
C2H     , heays2017         , B                , C           , C              , 3.21e-18      , 0.00e+00      , 5.051e-10       , 0.000e+00       , 253          , 109          , C2 + H
C2H2    , heays2017         , A+               , B           , B              , 5.78e-17      , 0.00e+00      , 9.094e-09       , 0.000e+00       , 217          , 109          , C2H + H
C2H4    , zelikoff1953      , C                , C           , C              , 2.36e-17      , 0.00e+00      , 3.713e-09       , 0.000e+00       , 258          , 118          , C2H2 + H2
C2H5OH  , heays2017         , A                , A           , B              , 2.56e-17      , 0.00e+00      , 4.028e-09       , 0.000e+00       , 208          , 119          , C2H5O + H
C2H6    , heays2017         , A+               , A+          , A              , 2.26e-17      , 0.00e+00      , 3.556e-09       , 0.000e+00       , 287          , 108          , C2H5 + H
C3      , heays2017         , C                , C           , C              , 1.38e-17      , 0.00e+00      , 2.171e-09       , 0.000e+00       , 268          , 102          , C2 + C
