 Lambda  Total   C2H2+    C2H+H    C2/H2    C2H/H    C2H2**  
    1.0 4.00E-23 2.00E-23 2.00E-23 0.00E+00 0.00E+00 0.00E+00
    5.0 6.00E-21 3.01E-21 2.99E-21 0.00E+00 0.00E+00 0.00E+00
   10.0 4.60E-20 2.31E-20 2.29E-20 0.00E+00 0.00E+00 0.00E+00
   15.0 1.48E-19 7.47E-20 7.33E-20 0.00E+00 0.00E+00 0.00E+00
   20.0 3.40E-19 1.72E-19 1.68E-19 0.00E+00 0.00E+00 0.00E+00
   25.0 6.00E-19 3.05E-19 2.95E-19 0.00E+00 0.00E+00 0.00E+00
   30.0 9.60E-19 4.89E-19 4.71E-19 0.00E+00 0.00E+00 0.00E+00
   35.0 1.44E-18 7.36E-19 7.04E-19 0.00E+00 0.00E+00 0.00E+00
   41.0 2.00E-18 1.03E-18 9.74E-19 0.00E+00 0.00E+00 0.00E+00
   43.0 8.70E-20 4.47E-20 4.23E-20 0.00E+00 0.00E+00 0.00E+00
   50.0 1.35E-19 6.96E-20 6.54E-20 0.00E+00 0.00E+00 0.00E+00
   60.0 2.00E-19 1.04E-19 9.62E-20 0.00E+00 0.00E+00 0.00E+00
   70.0 2.80E-19 1.46E-19 1.34E-19 0.00E+00 0.00E+00 0.00E+00
   80.0 4.00E-19 2.10E-19 1.90E-19 0.00E+00 0.00E+00 0.00E+00
   90.0 5.00E-19 2.64E-19 2.36E-19 0.00E+00 0.00E+00 0.00E+00
  100.0 6.60E-19 3.51E-19 3.09E-19 0.00E+00 0.00E+00 0.00E+00
  120.0 9.00E-19 4.84E-19 4.16E-19 0.00E+00 0.00E+00 0.00E+00
  150.0 1.50E-18 8.21E-19 6.79E-19 0.00E+00 0.00E+00 0.00E+00
  200.0 2.49E-18 1.40E-18 1.09E-18 0.00E+00 0.00E+00 0.00E+00
  250.0 4.00E-18 2.32E-18 1.68E-18 0.00E+00 0.00E+00 0.00E+00
  300.0 5.40E-18 3.21E-18 2.19E-18 0.00E+00 0.00E+00 0.00E+00
  400.0 9.24E-18 5.79E-18 3.45E-18 0.00E+00 0.00E+00 0.00E+00
  500.0 1.88E-17 1.24E-17 6.42E-18 0.00E+00 0.00E+00 0.00E+00
  600.0 2.40E-17 1.66E-17 7.44E-18 0.00E+00 0.00E+00 0.00E+00
  620.0 2.70E-17 1.92E-17 7.83E-18 0.00E+00 0.00E+00 0.00E+00
  640.0 2.90E-17 2.12E-17 7.83E-18 0.00E+00 0.00E+00 0.00E+00
  660.0 3.10E-17 2.42E-17 6.82E-18 0.00E+00 0.00E+00 0.00E+00
  680.0 3.20E-17 2.62E-17 5.76E-18 0.00E+00 0.00E+00 0.00E+00
  697.0 3.24E-17 3.24E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  700.0 3.25E-17 3.24E-17 0.00E+00 4.24E-20 8.48E-20 0.00E+00
  720.0 3.35E-17 3.25E-17 0.00E+00 3.35E-19 6.70E-19 0.00E+00
  740.0 3.70E-17 3.11E-17 0.00E+00 1.48E-18 4.44E-18 0.00E+00
  760.0 4.45E-17 2.94E-17 0.00E+00 3.56E-18 1.16E-17 0.00E+00
  780.0 4.85E-17 3.15E-17 0.00E+00 4.36E-18 1.26E-17 0.00E+00
  800.0 4.85E-17 3.54E-17 0.00E+00 3.40E-18 9.70E-18 0.00E+00
  820.0 4.65E-17 3.58E-17 0.00E+00 2.79E-18 7.91E-18 0.00E+00
  840.0 3.60E-17 2.70E-17 0.00E+00 2.16E-18 6.84E-18 0.00E+00
  860.0 3.20E-17 2.02E-17 0.00E+00 2.88E-18 8.96E-18 0.00E+00
  880.0 3.25E-17 1.88E-17 0.00E+00 3.25E-18 1.04E-17 0.00E+00
  900.0 3.60E-17 1.98E-17 0.00E+00 3.96E-18 1.22E-17 0.00E+00
  920.0 3.90E-17 2.30E-17 0.00E+00 3.90E-18 1.21E-17 0.00E+00
  940.0 3.70E-17 2.63E-17 0.00E+00 2.59E-18 8.14E-18 0.00E+00
  960.0 3.25E-17 2.44E-17 0.00E+00 1.95E-18 6.17E-18 0.00E+00
  980.0 3.00E-17 2.25E-17 0.00E+00 1.80E-18 5.70E-18 0.00E+00
 1000.0 2.80E-17 2.02E-17 0.00E+00 1.96E-18 5.88E-18 0.00E+00
 1050.0 2.29E-17 2.24E-17 0.00E+00 1.14E-19 4.12E-19 0.00E+00
 1060.0 2.38E-17 2.17E-17 0.00E+00 5.24E-19 1.57E-18 0.00E+00
 1075.0 2.52E-17 1.78E-17 0.00E+00 1.81E-18 5.54E-18 2.80E-33
 1085.0 2.24E-17 1.60E-17 0.00E+00 1.66E-18 4.70E-18 2.49E-33
 1086.0 2.88E-17 0.00E+00 0.00E+00 2.88E-18 8.64E-18 1.73E-17
 1087.0 3.51E-17 0.00E+00 0.00E+00 3.51E-18 1.05E-17 2.11E-17
 1091.0 2.17E-17 0.00E+00 0.00E+00 2.17E-18 6.51E-18 1.30E-17
 1094.0 2.76E-17 0.00E+00 0.00E+00 2.76E-18 8.28E-18 1.66E-17
 1100.0 2.04E-17 0.00E+00 0.00E+00 2.04E-18 6.12E-18 1.22E-17
 1101.0 1.66E-17 0.00E+00 0.00E+00 1.66E-18 4.98E-18 9.96E-18
 1102.0 4.27E-17 0.00E+00 0.00E+00 4.27E-18 1.28E-17 2.56E-17
 1106.0 2.92E-17 0.00E+00 0.00E+00 2.92E-18 8.76E-18 1.75E-17
 1111.0 2.15E-17 0.00E+00 0.00E+00 2.15E-18 6.45E-18 1.29E-17
 1114.0 1.06E-17 0.00E+00 0.00E+00 1.06E-18 3.18E-18 6.36E-18
 1116.0 1.86E-17 0.00E+00 0.00E+00 1.86E-18 5.58E-18 1.12E-17
 1120.0 5.08E-17 0.00E+00 0.00E+00 5.08E-18 1.52E-17 3.05E-17
 1122.0 7.96E-18 0.00E+00 0.00E+00 7.96E-19 2.39E-18 4.78E-18
 1126.0 4.37E-17 0.00E+00 0.00E+00 4.37E-18 1.31E-17 2.62E-17
 1129.0 1.18E-17 0.00E+00 0.00E+00 1.18E-18 3.54E-18 7.08E-18
 1132.0 9.24E-17 0.00E+00 0.00E+00 9.24E-18 2.77E-17 5.54E-17
 1136.0 5.77E-18 0.00E+00 0.00E+00 5.77E-19 1.73E-18 3.46E-18
 1142.0 3.55E-17 0.00E+00 0.00E+00 3.55E-18 1.06E-17 2.13E-17
 1145.0 4.52E-18 0.00E+00 0.00E+00 4.52E-19 1.36E-18 2.71E-18
 1149.0 1.78E-17 0.00E+00 0.00E+00 1.78E-18 5.34E-18 1.07E-17
 1152.0 1.50E-17 0.00E+00 0.00E+00 1.50E-18 4.50E-18 9.00E-18
 1156.0 1.06E-16 0.00E+00 0.00E+00 1.06E-17 3.18E-17 6.36E-17
 1159.0 1.14E-17 0.00E+00 0.00E+00 1.14E-18 3.42E-18 6.84E-18
 1162.0 8.82E-18 0.00E+00 0.00E+00 8.82E-19 2.65E-18 5.29E-18
 1165.0 3.03E-18 0.00E+00 0.00E+00 3.03E-19 9.09E-19 1.82E-18
 1167.0 1.10E-17 0.00E+00 0.00E+00 1.10E-18 3.30E-18 6.60E-18
 1169.0 9.34E-18 0.00E+00 0.00E+00 9.34E-19 2.80E-18 5.60E-18
