Lambda  Total   CH3CN+   CH2CN+H  CHCN+H2  CH2+HCN  CH2CN/H  CH3/CNB2 CH3/CNA2
   10.0 9.00E-20 9.00E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   20.0 5.88E-19 5.88E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   30.0 1.57E-18 1.57E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   40.0 1.80E-18 1.80E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   50.0 2.66E-19 2.66E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   60.0 4.14E-19 4.14E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   70.0 5.95E-19 5.95E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   80.0 8.12E-19 8.12E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   90.0 1.06E-18 1.06E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  100.0 1.35E-18 1.35E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  110.0 1.67E-18 1.67E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  120.0 2.02E-18 2.02E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  130.0 2.40E-18 2.40E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  140.0 2.82E-18 2.82E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  150.0 3.27E-18 3.27E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  160.0 3.74E-18 3.74E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  170.0 4.24E-18 4.24E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  180.0 4.78E-18 4.78E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  190.0 5.33E-18 5.33E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  200.0 5.92E-18 5.92E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  210.0 6.54E-18 6.54E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  220.0 7.17E-18 7.17E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  230.0 7.82E-18 7.82E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  240.0 8.49E-18 8.49E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  250.0 9.20E-18 9.20E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  260.0 1.00E-17 1.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  270.0 1.08E-17 1.08E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  280.0 1.16E-17 1.16E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  290.0 1.21E-17 1.21E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  300.0 1.29E-17 1.29E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  310.0 1.37E-17 1.37E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  320.0 1.47E-17 1.47E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  330.0 1.55E-17 1.55E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  340.0 1.62E-17 1.62E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  350.0 1.72E-17 1.72E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  360.0 1.80E-17 1.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  370.0 1.88E-17 1.88E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  380.0 1.89E-17 1.89E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  390.0 2.07E-17 2.07E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  400.0 2.15E-17 2.15E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  410.0 2.26E-17 2.26E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  420.0 2.36E-17 2.36E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  430.0 2.48E-17 2.48E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  440.0 2.56E-17 2.56E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  450.0 2.56E-17 2.56E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  460.0 2.35E-17 2.35E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  470.0 2.74E-17 2.74E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  480.0 2.93E-17 2.93E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  490.0 2.96E-17 2.96E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  500.0 3.04E-17 3.04E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  510.0 3.13E-17 3.13E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  520.0 3.20E-17 3.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  530.0 3.29E-17 3.29E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  540.0 3.37E-17 3.37E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  550.0 3.45E-17 3.45E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  560.0 3.52E-17 3.52E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  570.0 3.60E-17 3.60E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  580.0 3.69E-17 3.69E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  584.0 3.74E-17 3.74E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  590.0 3.78E-17 3.78E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  600.0 3.99E-17 3.99E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  604.2 5.30E-17 2.65E-17 2.17E-17 3.18E-18 1.33E-18 0.00E+00 0.00E+00 2.65E-19
  611.0 5.54E-17 2.75E-17 2.26E-17 3.31E-18 1.38E-18 3.18E-19 0.00E+00 2.58E-19
  616.0 5.68E-17 2.74E-17 2.25E-17 3.29E-18 1.37E-18 1.97E-18 0.00E+00 2.50E-19
  622.7 5.68E-17 2.65E-17 2.18E-17 3.19E-18 1.33E-18 3.73E-18 0.00E+00 2.78E-19
  631.1 5.82E-17 2.71E-17 2.22E-17 3.25E-18 1.36E-18 3.95E-18 0.00E+00 2.91E-19
  639.4 5.96E-17 2.74E-17 2.24E-17 3.28E-18 1.36E-18 4.89E-18 0.00E+00 2.92E-19
  644.5 6.00E-17 2.71E-17 2.23E-17 3.26E-18 1.36E-18 5.74E-18 0.00E+00 2.64E-19
  649.5 6.11E-17 2.76E-17 2.27E-17 3.32E-18 1.38E-18 5.82E-18 0.00E+00 2.99E-19
  654.5 6.07E-17 2.68E-17 2.20E-17 3.22E-18 1.34E-18 6.98E-18 0.00E+00 2.91E-19
  671.3 6.46E-17 2.86E-17 2.34E-17 3.43E-18 1.43E-18 7.36E-18 0.00E+00 3.10E-19
  677.9 6.28E-17 2.68E-17 2.20E-17 3.22E-18 1.34E-18 9.17E-18 0.00E+00 2.76E-19
  686.3 6.39E-17 2.75E-17 2.26E-17 3.30E-18 1.37E-18 8.82E-18 0.00E+00 3.07E-19
  696.3 6.46E-17 2.76E-17 2.26E-17 3.31E-18 1.38E-18 9.50E-18 0.00E+00 2.26E-19
  708.0 6.25E-17 2.53E-17 2.08E-17 3.04E-18 1.26E-18 1.19E-17 0.00E+00 2.00E-19
  749.6 5.26E-17 1.88E-17 1.55E-17 2.26E-18 9.42E-19 1.49E-17 0.00E+00 2.16E-19
  756.3 5.37E-17 1.93E-17 1.58E-17 2.32E-18 9.67E-19 1.50E-17 0.00E+00 2.04E-19
  774.7 5.16E-17 1.68E-17 1.38E-17 2.01E-18 8.41E-19 1.81E-17 0.00E+00 1.39E-19
  786.3 4.95E-17 1.52E-17 1.25E-17 1.83E-18 7.62E-19 1.90E-17 0.00E+00 1.29E-19
  791.4 4.91E-17 1.50E-17 1.23E-17 1.80E-18 7.51E-19 1.91E-17 0.00E+00 2.01E-19
  801.3 4.63E-17 1.38E-17 1.13E-17 1.65E-18 6.90E-19 1.87E-17 0.00E+00 1.57E-19
  806.3 4.56E-17 1.35E-17 1.11E-17 1.62E-18 6.75E-19 1.86E-17 0.00E+00 1.19E-19
  813.0 4.42E-17 1.31E-17 1.07E-17 1.57E-18 6.54E-19 1.80E-17 0.00E+00 1.19E-19
  821.7 4.42E-17 1.31E-17 1.07E-17 0.00E+00 6.54E-19 1.81E-17 0.00E+00 1.69E-18
  822.2 4.40E-17 1.34E-17 1.10E-17 0.00E+00 6.69E-19 1.82E-17 0.00E+00 8.27E-19
  822.7 4.40E-17 1.37E-17 1.13E-17 0.00E+00 6.91E-19 1.82E-17 0.00E+00 1.01E-19
  824.7 4.39E-17 1.37E-17 1.12E-17 0.00E+00 6.85E-19 1.84E-17 0.00E+00 1.76E-20
  828.0 4.28E-17 1.28E-17 1.05E-17 0.00E+00 6.42E-19 1.87E-17 0.00E+00 4.28E-20
  830.5 4.29E-17 1.29E-17 1.06E-17 0.00E+00 6.01E-19 1.87E-17 0.00E+00 1.29E-19
