 Lambda  CN/C2H  
    1.00  1.00E-22
   10.00  1.10E-19
   30.00  2.20E-18
   31.00  1.50E-18
   41.00  3.10E-18
   43.00  2.10E-19
   50.00  3.10E-19
  100.00  1.60E-18
  200.00  5.80E-18
  300.00  1.20E-17
  400.00  2.00E-17
  500.00  2.80E-17
  600.00  3.60E-17
  700.00  4.20E-17
  800.00  4.80E-17
 1058.00  4.27E-17
 1061.00  3.11E-17
 1065.00  4.71E-17
 1069.00  2.21E-17
 1073.00  2.33E-17
 1074.00  3.21E-17
 1076.00  1.98E-17
 1084.00  3.26E-17
 1086.00  1.66E-17
 1089.00  2.33E-17
 1093.00  5.18E-17
 1097.00  1.86E-17
 1101.00  3.55E-17
 1109.00  1.93E-17
 1117.00  6.29E-17
 1122.00  3.83E-17
 1125.00  3.81E-17
 1126.00  3.36E-17
 1129.00  4.33E-17
 1133.00  2.78E-17
 1137.00  4.60E-17
 1142.00  4.43E-17
 1153.00  1.02E-16
 1160.00  2.48E-17
 1163.00  4.06E-17
 1168.00  3.29E-17
 1176.00  4.66E-17
 1182.00  1.47E-17
 1189.00  3.49E-17
 1191.00  3.57E-17
 1192.00  4.14E-17
 1204.00  1.43E-17
 1218.00  2.59E-17
 1220.00  6.47E-17
 1223.00  6.53E-17
 1224.00  9.79E-17
 1235.00  2.85E-17
 1246.00  4.00E-17
 1257.00  9.97E-17
 1269.00  3.57E-17
 1283.00  6.09E-17
 1290.00  1.86E-16
 1307.00  2.52E-17
 1319.00  2.55E-17
 1328.00  3.44E-17
 1335.00  3.59E-17
 1361.00  7.74E-17
 1365.00  7.63E-17
 1387.00  1.08E-16
 1395.00  1.39E-16
 1409.00  1.78E-16
 1426.00  1.36E-16
 1448.00  2.23E-16
 1460.00  1.81E-16
 1492.00  3.77E-17
 1504.00  5.14E-17
 1538.00  1.10E-17
 1557.00  1.10E-17
 1583.00  6.47E-18
 1595.00  7.96E-18
 1606.00  8.22E-18
 1612.00  8.89E-18
 1623.00  5.02E-18
 1628.00  4.92E-18
 1632.00  3.72E-18
 2000.00  1.00E-19
