Lambda  Total   NH2/H    sNH/H2   NH/H/H   NH3+     NH2+H    NH+H2    N+H2/H   H+NH2   
    1.0 1.00E-21 0.00E+00 0.00E+00 0.00E+00 2.01E-22 2.01E-22 1.99E-22 1.99E-22 1.99E-22
   10.0 4.20E-20 0.00E+00 0.00E+00 0.00E+00 8.75E-21 8.77E-21 8.17E-21 8.15E-21 8.16E-21
   30.0 7.20E-19 0.00E+00 0.00E+00 0.00E+00 1.62E-19 1.63E-19 1.32E-19 1.31E-19 1.31E-19
   31.0 3.60E-20 0.00E+00 0.00E+00 0.00E+00 8.13E-21 8.18E-21 6.60E-21 6.54E-21 6.55E-21
   50.0 1.10E-19 0.00E+00 0.00E+00 0.00E+00 2.66E-20 2.68E-20 1.91E-20 1.87E-20 1.88E-20
  100.0 6.10E-19 0.00E+00 0.00E+00 0.00E+00 1.73E-19 1.75E-19 8.93E-20 8.58E-20 8.66E-20
  150.0 1.40E-18 0.00E+00 0.00E+00 0.00E+00 4.55E-19 4.64E-19 1.67E-19 1.55E-19 1.58E-19
  200.0 2.50E-18 0.00E+00 0.00E+00 0.00E+00 9.18E-19 9.38E-19 2.32E-19 2.03E-19 2.10E-19
  250.0 4.00E-18 0.00E+00 0.00E+00 0.00E+00 1.64E-18 1.68E-18 2.64E-19 2.06E-19 2.19E-19
  300.0 6.00E-18 0.00E+00 0.00E+00 0.00E+00 2.70E-18 2.77E-18 2.35E-19 1.31E-19 1.55E-19
  350.0 8.00E-18 0.00E+00 0.00E+00 0.00E+00 3.65E-18 3.88E-18 2.81E-19 9.37E-20 9.33E-20
  374.1 2.00E-17 0.00E+00 0.00E+00 0.00E+00 9.15E-18 9.90E-18 6.84E-19 1.53E-19 1.09E-19
  374.3 1.70E-17 0.00E+00 0.00E+00 0.00E+00 7.78E-18 8.42E-18 5.81E-19 1.29E-19 9.20E-20
  387.0 1.82E-17 0.00E+00 0.00E+00 0.00E+00 8.35E-18 9.10E-18 6.19E-19 1.27E-19 0.00E+00
  503.7 2.90E-17 0.00E+00 0.00E+00 0.00E+00 1.21E-17 1.62E-17 6.74E-19 2.90E-20 0.00E+00
  511.5 2.40E-17 0.00E+00 0.00E+00 0.00E+00 9.93E-18 1.35E-17 5.34E-19 2.40E-20 0.00E+00
  538.3 2.80E-17 0.00E+00 0.00E+00 0.00E+00 1.13E-17 1.62E-17 5.19E-19 2.80E-20 0.00E+00
  539.2 2.80E-17 0.00E+00 0.00E+00 0.00E+00 1.13E-17 1.62E-17 5.11E-19 2.80E-20 0.00E+00
  539.4 2.60E-17 0.00E+00 0.00E+00 0.00E+00 1.05E-17 1.50E-17 4.72E-19 2.60E-20 2.89E-33
  539.9 3.10E-17 0.00E+00 0.00E+00 0.00E+00 1.25E-17 1.79E-17 5.58E-19 3.10E-20 0.00E+00
  555.1 2.70E-17 0.00E+00 0.00E+00 0.00E+00 1.08E-17 1.58E-17 3.24E-19 2.70E-20 0.00E+00
  560.0 3.20E-17 0.00E+00 0.00E+00 0.00E+00 1.28E-17 1.89E-17 3.20E-19 0.00E+00 0.00E+00
  580.4 3.32E-17 0.00E+00 0.00E+00 0.00E+00 1.32E-17 1.99E-17 1.06E-19 0.00E+00 3.69E-33
  581.0 3.46E-17 0.00E+00 0.00E+00 0.00E+00 1.37E-17 2.08E-17 1.04E-19 0.00E+00 0.00E+00
  582.2 3.49E-17 0.00E+00 0.00E+00 0.00E+00 1.38E-17 2.10E-17 9.07E-20 0.00E+00 3.87E-33
  600.0 3.87E-17 0.00E+00 0.00E+00 0.00E+00 1.53E-17 2.33E-17 7.74E-20 0.00E+00 0.00E+00
  625.0 4.41E-17 0.00E+00 0.00E+00 0.00E+00 1.74E-17 2.66E-17 8.82E-20 0.00E+00 0.00E+00
  650.0 4.65E-17 0.00E+00 0.00E+00 0.00E+00 1.83E-17 2.81E-17 9.30E-20 0.00E+00 0.00E+00
  675.0 4.80E-17 0.00E+00 0.00E+00 0.00E+00 1.89E-17 2.90E-17 9.60E-20 0.00E+00 0.00E+00
  690.0 5.00E-17 0.00E+00 2.90E-20 7.10E-20 1.99E-17 2.99E-17 5.00E-20 0.00E+00 0.00E+00
  700.0 5.09E-17 0.00E+00 1.12E-19 2.95E-19 2.14E-17 2.91E-17 5.09E-20 0.00E+00 5.65E-33
  725.0 4.87E-17 0.00E+00 7.79E-19 2.24E-18 2.21E-17 2.35E-17 4.87E-20 0.00E+00 0.00E+00
  750.0 4.45E-17 0.00E+00 1.47E-18 4.81E-18 2.56E-17 1.26E-17 4.45E-20 0.00E+00 4.94E-33
  775.0 3.90E-17 0.00E+00 2.43E-18 8.77E-18 2.52E-17 2.64E-18 0.00E+00 0.00E+00 0.00E+00
  800.0 3.22E-17 0.00E+00 2.99E-18 1.19E-17 1.73E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  825.0 3.03E-17 0.00E+00 2.94E-18 1.29E-17 1.45E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  850.0 2.72E-17 0.00E+00 2.50E-18 1.20E-17 1.27E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  875.0 2.39E-17 0.00E+00 2.03E-18 1.05E-17 1.14E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  900.0 2.06E-17 0.00E+00 1.59E-18 8.82E-18 1.02E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  925.0 1.69E-17 0.00E+00 1.15E-18 6.84E-18 8.91E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  940.0 1.57E-17 0.00E+00 1.04E-18 6.26E-18 8.40E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  950.0 1.56E-17 0.00E+00 9.36E-19 5.77E-18 8.89E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  960.0 1.68E-17 0.00E+00 1.02E-18 6.47E-18 9.31E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  975.0 1.93E-17 0.00E+00 1.29E-18 8.38E-18 9.63E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  985.0 2.15E-17 0.00E+00 1.53E-18 9.98E-18 1.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1000.0 2.32E-17 0.00E+00 1.81E-18 1.20E-17 9.40E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1005.0 2.41E-17 0.00E+00 1.90E-18 1.29E-17 9.30E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1010.0 2.53E-17 0.00E+00 2.02E-18 1.36E-17 9.69E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1014.0 2.46E-17 0.00E+00 1.96E-18 1.33E-17 9.38E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1020.0 2.46E-17 0.00E+00 1.94E-18 1.33E-17 9.32E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1027.0 2.46E-17 0.00E+00 1.97E-18 1.36E-17 9.00E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1030.0 2.42E-17 0.00E+00 1.96E-18 1.35E-17 8.71E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1033.0 2.45E-17 0.00E+00 1.98E-18 1.37E-17 8.77E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1038.0 2.40E-17 0.00E+00 1.97E-18 1.35E-17 8.52E-18 0.00E+00 0.00E+00 0.00E+00 2.66E-33
 1040.0 2.52E-17 0.00E+00 2.07E-18 1.42E-17 8.92E-18 0.00E+00 0.00E+00 0.00E+00 2.80E-33
 1044.0 2.61E-17 0.00E+00 2.14E-18 1.49E-17 9.11E-18 0.00E+00 0.00E+00 0.00E+00 2.90E-33
 1050.0 2.46E-17 0.00E+00 5.19E-18 1.10E-17 8.39E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1056.0 2.33E-17 3.03E-19 4.71E-18 1.04E-17 7.90E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1060.0 2.49E-17 4.98E-19 5.00E-18 1.12E-17 8.19E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1065.0 2.57E-17 6.94E-19 5.14E-18 1.13E-17 8.58E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1070.0 2.58E-17 8.51E-19 5.13E-18 1.12E-17 8.59E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1073.0 2.55E-17 9.07E-19 5.07E-18 1.09E-17 8.64E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
